"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"maxFeePerGas小于maxPriorityFeePerGas","13","usdt转账失败：maxFeePerGas小于maxPriorityFeePerGas","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transfer_unit","",""
"maxFeePerGas小于baseFee","32","usdt授权转账失败：maxFeePerGas小于baseFee","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
"Legacy类型：授权方给被授权方设置代币额度","22","ERC20-Legacy approve流程","tests.e2e","2025-12-04","passed","2025-12-04","","test_erc20_approve_legacy","",""
"eip-1559类型：授权方给被授权方设置代币额度","29","ERC20-eip-1559 approve流程","tests.e2e","2025-12-04","passed","2025-12-04","","test_erc20_approve_eip_1559","",""
"erc20转账","36","ERC20-eip15589转账流程","tests.e2e","2025-12-04","passed","2025-12-04","","test_erc20_transfer_eip1559","",""
"正常签名后，又篡改了签名内容，转账失败","7","eth转账失败：签名被篡改","tests.unit","2025-12-04","passed","2025-12-04","","test_eth_legacy_unit","",""
"maxFeePerGas小于baseFee","13","usdt转账失败：maxFeePerGas小于baseFee","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transfer_unit","",""
"gas设置过低，转账失败","8","eth转账失败：eth充足，gas明显低于21000","tests.unit","2025-12-04","passed","2025-12-04","","test_eth_legacy_unit","",""
"maxFeePerGas小于baseFee","32","usdt授权转账失败：maxFeePerGas小于maxPriorityFeePerGas","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
"正常签名后，又篡改了签名内容，转账失败","13","usdt转账失败：签名被篡改","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transfer_unit","",""
"gas设置过低，转账失败","14","usdt转账失败：eth充足，gas明显低于21000","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transfer_unit","",""
"erc20转账","29","ERC20-legacy转账流程","tests.e2e","2025-12-04","passed","2025-12-04","","test_erc20_transfer_legacy","",""
"eip-legacy类型：先approve授权，再transferFrom转账（三方角色）","48","ERC20-legacy transferfrom流程","tests.e2e","2025-12-04","passed","2025-12-04","","test_erc20_transferfrom_legacy","",""
"触发幂等，2次重复交易","18","usdt转账失败：触发幂等","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transfer_unit","",""
"超出授权额度","41","usdt授权转账失败：授权转账金额超过授权额度","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
"授权取消，授权转账失败","49","usdt授权转账失败：授权取消，授权转账失败","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
"超出可用余额转账","16","usdt转账失败：转账金额超过余额","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transfer_unit","",""
"触发幂等，2次重复交易","38","usdt授权转账失败：触发幂等","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
"在授权额度内，转账金额超过代币持有者余额","44","usdt授权转账失败：授权额度范围内授权转账金额超过代币持有者余额","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
"超出可用余额转账","8","eth转账失败：转账金额超过余额","tests.unit","2025-12-04","passed","2025-12-04","","test_eth_legacy_unit","",""
"触发幂等，2次重复交易","9","eth转账失败：触发幂等","tests.unit","2025-12-04","passed","2025-12-04","","test_eth_legacy_unit","",""
"ETH原生转账 - Legacy","14","ETH-legacy转账流程","tests.e2e","2025-12-04","passed","2025-12-04","","test_eth_legacy","",""
"eip-1559 类型：先approve授权，再transferFrom转账（三方角色）","76","ERC20-eip1559 transferfrom流程","tests.e2e","2025-12-04","passed","2025-12-04","","test_erc20_transferfrom_eip1559","",""
"gas设置过低，授权转账失败","40","usdt授权转账失败：eth充足，gas明显低于21000","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
"正常签名后，又篡改了签名内容，授权转账失败","52","usdt授权转账失败：签名被篡改","tests.unit","2025-12-04","passed","2025-12-04","","test_erc20_eip1559_transferfrom_unit","",""
